id,articleType,filepath
19612,Tshirts,data/subset_train\Tshirts\19612.jpg
43498,Tshirts,data/subset_train\Tshirts\43498.jpg
38595,Tshirts,data/subset_train\Tshirts\38595.jpg
14101,Tshirts,data/subset_train\Tshirts\14101.jpg
2062,Tshirts,data/subset_train\Tshirts\2062.jpg
29157,Tshirts,data/subset_train\Tshirts\29157.jpg
6996,Tshirts,data/subset_train\Tshirts\6996.jpg
7837,Tshirts,data/subset_train\Tshirts\7837.jpg
3792,Tshirts,data/subset_train\Tshirts\3792.jpg
37984,Tshirts,data/subset_train\Tshirts\37984.jpg
15475,Tshirts,data/subset_train\Tshirts\15475.jpg
5153,Tshirts,data/subset_train\Tshirts\5153.jpg
46385,Tshirts,data/subset_train\Tshirts\46385.jpg
14729,Tshirts,data/subset_train\Tshirts\14729.jpg
2265,Tshirts,data/subset_train\Tshirts\2265.jpg
7004,Tshirts,data/subset_train\Tshirts\7004.jpg
44883,Tshirts,data/subset_train\Tshirts\44883.jpg
36312,Tshirts,data/subset_train\Tshirts\36312.jpg
2974,Tshirts,data/subset_train\Tshirts\2974.jpg
43503,Tshirts,data/subset_train\Tshirts\43503.jpg
4359,Tshirts,data/subset_train\Tshirts\4359.jpg
9778,Tshirts,data/subset_train\Tshirts\9778.jpg
16191,Tshirts,data/subset_train\Tshirts\16191.jpg
13429,Tshirts,data/subset_train\Tshirts\13429.jpg
2343,Tshirts,data/subset_train\Tshirts\2343.jpg
34314,Tshirts,data/subset_train\Tshirts\34314.jpg
7749,Tshirts,data/subset_train\Tshirts\7749.jpg
12847,Tshirts,data/subset_train\Tshirts\12847.jpg
2484,Tshirts,data/subset_train\Tshirts\2484.jpg
2307,Tshirts,data/subset_train\Tshirts\2307.jpg
4361,Tshirts,data/subset_train\Tshirts\4361.jpg
44834,Tshirts,data/subset_train\Tshirts\44834.jpg
38586,Tshirts,data/subset_train\Tshirts\38586.jpg
26263,Tshirts,data/subset_train\Tshirts\26263.jpg
51473,Tshirts,data/subset_train\Tshirts\51473.jpg
41752,Tshirts,data/subset_train\Tshirts\41752.jpg
11024,Tshirts,data/subset_train\Tshirts\11024.jpg
2680,Tshirts,data/subset_train\Tshirts\2680.jpg
10690,Tshirts,data/subset_train\Tshirts\10690.jpg
28928,Tshirts,data/subset_train\Tshirts\28928.jpg
37532,Tshirts,data/subset_train\Tshirts\37532.jpg
7988,Tshirts,data/subset_train\Tshirts\7988.jpg
6207,Tshirts,data/subset_train\Tshirts\6207.jpg
